name|strava_id|measured_km|strava_km|gain_m_recomputed|gain_m_strava|points|surface_mix|retrace_%|shape|start_query|waypoint_queries
잠원 한신2차 생활권 루프 6.82km|3523229766951707090|6.83|6.82|17|31|135|79% PAVED · 0% DIRT · 21% NOT SPECIFIED|44.1|LOLLIPOP|한신2차정문|한신2차후문; 잠원근린공원; 신반포메이플자이; 반포미도아파트; 37.50323,127.00592; 신반포역 2번출구; 37.51148,127.00211
잠원 한신2차 공원·역세권 루프 4.97km|3523230401766453958|4.98|4.97|13|18|96|90% PAVED · 0% DIRT · 10% NOT SPECIFIED|66.5|OUT-AND-BACK|한신2차정문|한신2차후문; 잠원스포츠파크; 신반포메이플자이; 반포미도아파트; 신반포역 2번출구
잠실엘스 외곽 생활권 루프 3.06km|3523234988764300754|3.07|3.06|0|0|66|90% PAVED · 0% DIRT · 10% NOT SPECIFIED|15.0|LOOP|37.51403,127.07806 (잠실엘스 서문)|37.5155,127.078; 37.514,127.08477; 37.5115,127.0847; 37.5105,127.08; 37.5115,127.0755
잠실 아시아선수촌·아시아공원 루프 3.89km|3523231493904049628|3.90|3.89|20|33|88|41% PAVED · 0% DIRT · 59% NOT SPECIFIED|52.6|LOLLIPOP|아시아선수촌아파트 교차로|아시아공원; 아주초등학교; 잠실7동 주민센터; 올림픽로4길 15; 잠실근린공원
잠실 레이크팰리스·석촌호수 서호 루프 3.97km|3523231493906677212|3.98|3.97|8|10|110|57% PAVED · 0% DIRT · 43% NOT SPECIFIED|37.0|LOLLIPOP|레이크팰리스|석촌호수 서호 사거리; 석촌호수 아뜰리에; 석촌호수 서호 남단; 석촌호수; 석촌호수.한솔병원(중)
